batter,Name,launch_angle,launch_speed,bat_speed,release_speed,squared_up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
686823,Will Brennan,12,75.4,62.3634,82.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
593160,Whit Merrifield,40,82.6,65.2585,91.7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
593871,Jorge Polanco,10,86.6,70.7539,80.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
682998,Corbin Carroll,-32,71.3,78.9472,87.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
596115,Trevor Story,80,69.6,70.4989,86.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
676609,Jose Caballero,61,90.4,70.7957,89.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
680779,Henry Davis,32,96,72.2918,90,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
677594,Julio Rodriguez,24,93.7,75.3512,91.7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
646240,Rafael Devers,-20,84.6,72.5068,89.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
543510,James McCann,8,86.7,65.2389,92.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
623912,Harold Ramirez,-55,76.9,72.255,88.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
680777,Ryan Jeffers,-42,61.8,72.1932,84.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
666176,Jo Adell,0,58,68.8379,94.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
667670,Brent Rooker,30,104.3,76.3471,96.9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
672386,Alejandro Kirk,4,78.2,64.0166,76.9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
680776,Jarren Duran,29,61.1,64.7916,91.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641487,J.P. Crawford,35,98.3,70.9465,85.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
647304,Josh Naylor,34,89.3,63.8544,84.9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
643289,Mauricio Dubon,-3,94,65.4557,87.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
669016,Brandon Marsh,11,98.8,72.3833,94.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
686217,Sal Frelick,21,69.5,67.4706,93.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650489,Willi Castro,2,100.8,68.5452,92.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
672275,Patrick Bailey,2,98.4,73.6379,96.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
663538,Nico Hoerner,35,91.7,69.1547,85.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
665742,Juan Soto,-17,98.1,77.7958,90.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
677800,Wilyer Abreu,62,89.4,71.6099,91,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662139,Daulton Varsho,72,82.2,66.9896,77.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
608070,Jose Ramirez,21,103.6,73.6394,92.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
664874,Seby Zavala,-2,75.3,66.7236,80.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
672695,Geraldo Perdomo,29,85.6,70.2551,95.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
680700,Richie Palacios,-9,86,66.2032,87.7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
642133,Rowdy Tellez,-34,69.3,76.4685,83.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
683737,Michael Busch,6,92.7,68.0462,83,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
681351,Logan O'Hoppe,48,96.2,69.7516,92.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660644,Vidal Brujan,43,92.1,61.5687,94.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650402,Gleyber Torres,-21,90.2,71.6103,89.9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
671056,Ivan Herrera,9,101,80.5619,80.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
571466,Tucker Barnhart,10,68.5,68.7462,85.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592206,Nick Castellanos,65,79.1,67.8583,94.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500743,Miguel Rojas,23,101.5,69.0155,90.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
665926,Andres Gimenez,-27,85.2,63.4694,85.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
664728,Kyle Isbel,-18,77.8,76.3817,88.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
669720,Austin Hays,-2,76.8,65.7133,87,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670623,Isaac Paredes,39,62.2,68.3919,95,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
621035,Chris Taylor,-21,65.5,67.6843,86.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
657041,Lane Thomas,7,108.8,77.5667,87.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457705,Andrew McCutchen,-15,93.5,66.4746,89.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
669701,Josh Smith,21,94.4,71.0776,91.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
649966,Luis Urias,16,106.6,72.5976,81.7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
541645,Avisail Garcia,-11,99.6,66.8173,89.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
666023,Freddy Fermin,12,76,70.9056,77.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
642715,Willy Adames,24,93.3,77.3627,83.9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
677587,Brayan Rocchio,-29,77.1,68.5409,79.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
624512,Reese McGuire,38,89,68.6172,83.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
624428,Adam Frazier,-6,92.9,65.7069,79.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
664238,Dylan Moore,43,95.7,75.1432,81.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
642731,Thairo Estrada,58,87.7,73.6139,96,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
681082,Bryson Stott,22,89.1,65.488,95.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
668715,Spencer Steer,67,81.1,67.7743,84.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
666182,Bo Bichette,69,64.9,57.6117,78.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
668227,Randy Arozarena,-37,79.7,78.899,88.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
543305,Aaron Hicks,3,102.3,75.8909,89.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592669,Hunter Renfroe,-4,103.1,77.7804,86.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
677942,Blaze Alexander,47,56.3,68.4345,98,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605204,J.D. Davis,21,107.3,76.5127,89.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
663757,Trent Grisham,57,71.5,72.769,81.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
664034,Ty France,18,92.3,73.456,76.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592885,Christian Yelich,13,78.4,72.864,79.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
665839,Enmanuel Valdez,29,78.1,77.873,84.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
676801,Chas McCormick,37,93.4,68.1619,74.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592273,Brandon Drury,-8,85.4,70.535,81.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
669261,Jack Suwinski,61,67.2,72.7221,91.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
669224,Austin Wells,14,94.9,73.828,91.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
671277,Luis Garcia,17,110.4,76.2147,89.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
669004,MJ Melendez,-31,90,67.4828,94.9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
596146,Max Kepler,36,86.9,65.6933,91.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
668709,J.J. Bleday,-12,87.6,70.587,95.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
678882,Ceddanne Rafaela,29,66,60.0801,90.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
571448,Nolan Arenado,35,65,68.6806,81.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641355,Cody Bellinger,30,97.3,70.806,90,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
687263,Zach Neto,-2,104.9,71.2535,90.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
665828,Oswaldo Cabrera,6,77.1,66.3537,87,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
621439,Byron Buxton,87,74.7,75.6806,92.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607732,Jacob Stallings,22,107.2,71.4986,94.9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
661388,William Contreras,7,97.2,67.372,95,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
673548,Seiya Suzuki,15,93.2,72.9401,92,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592663,J.T. Realmuto,36,90.1,73.8933,93.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
673490,Ha-seong Kim,12,105.1,72.075,89.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606192,Teoscar Hernandez,19,83.2,74.6383,86.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
676701,Alan Trejo,35,91,64.3351,95.7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
669257,Will Smith,5,103.5,69.5315,89.9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
547180,Bryce Harper,-16,80.9,60.1913,83.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
545361,Mike Trout,76,73.5,70.0244,95.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
572233,Christian Walker,50,89.5,71.4394,97.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
657077,Alex Verdugo,76,77.9,71.7129,91.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641598,Mitch Garver,25,94.4,72.2251,90.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
572138,Jon Singleton,10,72.4,72.27,90,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
575929,Willson Contreras,6,109.3,77.3939,82.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641584,Jake Fraley,-14,90.5,78.6979,91.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
672356,Gabriel Arias,30,90.2,70.5284,86.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
571745,Mitch Haniger,-28,76.5,70.3776,79.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600869,Jeimer Candelario,33,92.1,71.1813,93.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592696,Eddie Rosario,-15,84.2,70.3567,82.7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
593871,Jorge Polanco,42,97.6,73.6949,79.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
683011,Anthony Volpe,-21,97.2,70.9269,93.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
521692,Salvador Perez,6,100,74.162,86.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592518,Manny Machado,-9,83.4,70.3558,83.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
663647,Ke'Bryan Hayes,-20,102.8,72.5212,89.9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
668939,Adley Rutschman,21,82.8,68.6385,86.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
543807,George Springer,21,96.8,67.5965,76.9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607208,Trea Turner,46,101.6,66.4187,92.7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
630105,Jake Cronenworth,1,105.4,69.9664,90.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
543305,Aaron Hicks,17,103,78.6759,86.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660688,Keibert Ruiz,14,70.9,62.9648,93.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
807799,Masataka Yoshida,21,82.8,69.2569,85.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
686469,Vinnie Pasquantino,41,86.2,70.3957,80.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650859,Luis Rengifo,-28,92.8,65.9578,94.9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
608336,Joey Gallo,16,82.6,76.3518,93.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
676116,Ryan Noda,58,84.6,73.578,94.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
666310,Bo Naylor,58,76,72.7001,84.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
665487,Fernando Tatis Jr.,-32,88.1,67.7931,83.7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
608369,Corey Seager,36,94.9,72.2788,87.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
677951,Bobby Witt Jr.,17,78.5,72.6511,93.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
686823,Will Brennan,39,92.9,68.4792,93.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592450,Aaron Judge,32,108.9,77.1047,93,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
665804,Miguel Amaya,35,95.5,70.4334,85,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
669911,Michael Toglia,-19,97.6,75.8413,95.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
683002,Gunnar Henderson,-60,52,62.2812,86.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660271,Shohei Ohtani,10,69.7,74.9348,92.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
671213,Triston Casas,10,91.3,74.4615,91,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
666181,Will Benson,-3,68.1,78.0991,85.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
672580,Maikel Garcia,-26,93.6,69.9954,96.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
669394,Jake Burger,-9,83.5,64.5543,94.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
666971,Lourdes Gurriel Jr.,51,77.4,73.6947,88.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
593428,Xander Bogaerts,4,69.2,72.4205,89.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
679032,Johan Rojas,-75,52,68.7442,84,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
